AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName	ClustID	Query
OLS24956.1	<-Cluster1086_2clades||PspC*->	zinc_ribbon_2+PspC	ZNR+PspC	-	112	HeimC2_20110	archaea>asgard group	Candidatus Heimdallarchaeota archaeon LC_2	hypothetical protein HeimC2_20110 [Candidatus Heimdallarchaeota archaeon LC_2]	1129857297	 PspC	000001.1368	PspC
ABC83427.1	<-PspC*	PspC	ZNR+PspC	-	110	Adeh_3661	bacteria>proteobacteria>deltaproteobacteria	Anaeromyxobacter dehalogenans 2CP-C	phage shock protein C, PspC [Anaeromyxobacter dehalogenans 2CP-C]	85776590	 PspC	000001.1368	PspC
ADW68960.1	<-RnaseT2<-Cluster186_3clades||?->?->?-><-PspC*<-?<-?||?-><-?<-?||SIG+SET->	zinc_ribbon_2+PspC	ZNR+PspC	-	109	AciX9_1914	bacteria>acidobacteria	Granulicella tundricola MP5ACTX9	phage shock protein C, PspC [Granulicella tundricola MP5ACTX9]	321163255	 PspC	000001.1368	PspC
ABS27969.1	PspC*->	PspC	ZNR+PspC	-	108	Anae109_3790	bacteria>proteobacteria>deltaproteobacteria	Anaeromyxobacter sp. Fw109-5	phage shock protein C, PspC [Anaeromyxobacter sp. Fw109-5]	152030201	 PspC	000001.1368	PspC
ABF40326.1	PspC*->	zf-ribbon_3+PspC	ZNR+PspC	-	107	Acid345_1324	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	phage shock protein C, PspC [Candidatus Koribacter versatilis Ellin345]	94550402	 PspC	000001.1368	PspC
ABJ85299.1	PspC*->	zinc_ribbon_2+PspC	ZNR+PspC	-	107	Acid_4337	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	phage shock protein C, PspC [Candidatus Solibacter usitatus Ellin6076]	116226590	 PspC	000001.1368	PspC
ADV82333.1	PspC*->Cluster186_3clades->?->RnaseT2->	zinc_ribbon_2+PspC	ZNR+PspC	-	106	AciPR4_1511	bacteria>acidobacteria	Terriglobus saanensis SP1PR4	phage shock protein C, PspC [Terriglobus saanensis SP1PR4]	319925258	 PspC	000001.1368	PspC
AEU37489.1	<-Cluster186_3clades<-PspC*	PspC	ZNR+PspC	-	106	AciX8_3188	bacteria>acidobacteria	Granulicella mallensis MP5ACTX8	phage shock protein C, PspC [Granulicella mallensis MP5ACTX8]	358754099	 PspC	000001.1368	PspC
AAK06002.1	<-PspC*<-PspC*<-Toast-rack	PspC	PspC	-	154	ythA	bacteria>firmicutes	Lactococcus lactis subsp. lactis Il1403	hypothetical protein L157237 [Lactococcus lactis subsp. lactis Il1403]	12724940	 PspC	000001.1368	PspC
ADJ61132.1	<-PspC*<-PspC*<-Toast-rack	PspC	PspC	-	154	LLNZ_11155	bacteria>firmicutes	Lactococcus lactis subsp. cremoris NZ9000	hypothetical protein LLNZ_11155 [Lactococcus lactis subsp. cremoris NZ9000]	300071732	 PspC	000001.1368	PspC
