AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
# 225;	PspM-like-Sig+TM+-Cytbdox
AHH20192.1	SIG+TM+TM	SIG+TM+TM	-	413	NONO_c54120	Nocardia nova SH22a	bacteria>actinobacteria	hypothetical protein NONO_c54120 [Nocardia nova SH22a]	576087802
ABW10665.1	-	-	-	336	Franean1_1211	Frankia sp. EAN1pec	bacteria>actinobacteria	conserved hypothetical protein [Frankia sp. EAN1pec]	158108468
ANN16363.1	TM+TM	TM+TM	-	329	SD37_12360	Amycolatopsis orientalis	bacteria>actinobacteria	hypothetical protein SD37_12360 [Amycolatopsis orientalis]	1039682263 
ADJ48013.1	SIG+TM+TM	SIG+TM+TM	-	328	AMED_6279	Amycolatopsis mediterranei U32	bacteria>actinobacteria	conserved hypothetical protein [Amycolatopsis mediterranei U32]	299797638
AEK44914.1	SIG+TM+TM	SIG+TM+TM	-	328	RAM_32205	Amycolatopsis mediterranei S699	bacteria>actinobacteria	hypothetical protein RAM_32205 [Amycolatopsis mediterranei S699]	340529709
AFO79724.1	SIG+TM+TM	SIG+TM+TM	-	328	AMES_6188	Amycolatopsis mediterranei S699	bacteria>actinobacteria	hypothetical protein AMES_6188 [Amycolatopsis mediterranei S699]	398320777
AGT86852.1	SIG+TM+TM	SIG+TM+TM	-	328	B737_6188	Amycolatopsis mediterranei RB	bacteria>actinobacteria	hypothetical protein B737_6188 [Amycolatopsis mediterranei RB]	532231873
AJK55085.1	TM+TM	TM+TM	-	328	BB31_17640	Amycolatopsis lurida NRRL 2430	bacteria>actinobacteria	hypothetical protein BB31_17640 [Amycolatopsis lurida NRRL 2430]	755911507
AIG78347.1	TM+TM	TM+TM	-	326	AJAP_27505	Amycolatopsis japonica	bacteria>actinobacteria	Conserved putative membrane protein [Amycolatopsis japonica]	667683731
AMC65083.1	TM+TM	TM+TM	-	326	RN09_3335	Mycobacterium africanum	bacteria>actinobacteria	transmembrane alanine-rich protein [Mycobacterium africanum]	984970988
AGM04859.1	TM+TM	TM+TM	-	324	AORI_2271	Amycolatopsis orientalis HCCB10007	bacteria>actinobacteria	hypothetical protein AORI_2271 [Amycolatopsis orientalis HCCB10007]	505814936
CAM05060.1	TM+TM	TM+TM	-	315	SACE_5877	Saccharopolyspora erythraea NRRL 2338	bacteria>actinobacteria	possible conserved transmembrane alanine rich protein [Saccharopolyspora erythraea NRRL 2338]	133914947
ACU97506.1	TM+TM	TM+TM+MA	-	309	Svir_25120	Saccharomonospora viridis DSM 43017	bacteria>actinobacteria	hypothetical protein Svir_25120 [Saccharomonospora viridis DSM 43017]	256586373
ACV80291.1	SIG+TM	SIG+TM	-	308	Namu_3999	Nakamurella multipartita DSM 44233	bacteria>actinobacteria	hypothetical protein Namu_3999 [Nakamurella multipartita DSM 44233]	258557349
ABL05563.1	SIG+TM	SIG+TM	-	307	MUL_3385	Mycobacterium ulcerans Agy99	bacteria>actinobacteria	conserved hypothetical membrane protein [Mycobacterium ulcerans Agy99]	118570812
AMT71621.1	TM+TM	TM+TM	-	301	ABG82_16240	Mycobacterium immunogenum	bacteria>actinobacteria	membrane protein [Mycobacterium immunogenum]	1013058508 
ANO04742.1	TM+TM	TM+TM	-	301	BAB75_16485	Mycobacterium immunogenum	bacteria>actinobacteria	hypothetical protein BAB75_16485 [Mycobacterium immunogenum]	1041027699 
AGM29607.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	MASS_3005	Mycobacterium abscessus subsp. bolletii 50594	bacteria>actinobacteria	alanine rich transmembrane protein [Mycobacterium abscessus subsp. bolletii 50594]	506963226
AIR34223.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	LA61_15470	Mycobacterium abscessus subsp. bolletii 103	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. bolletii 103]	690338934
AIR39103.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	LA62_15570	Mycobacterium abscessus subsp. bolletii	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. bolletii]	690345032
AIR42694.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	LH56_08785	Mycobacterium abscessus subsp. bolletii	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. bolletii]	690291188
AIV11871.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	NF82_15335	Mycobacterium abscessus subsp. bolletii	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. bolletii]	701177232
AIV15707.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	NF92_08930	Mycobacterium abscessus subsp. abscessus	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. abscessus]	701181069
AIV20234.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	NF90_08930	Mycobacterium abscessus subsp. abscessus	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus subsp. abscessus]	701185597
AKP59051.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	MAUC22_16885	Mycobacterium abscessus UC22	bacteria>actinobacteria	membrane protein [Mycobacterium abscessus UC22]	873879414
ALM17243.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	AOY11_14255	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein AOY11_14255 [Mycobacterium abscessus]	946537314
AMU26876.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3N96_17020	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3N96_17020 [Mycobacterium abscessus]	1014147138 
AMU31697.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3N97_14740	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3N97_14740 [Mycobacterium abscessus]	1014156283 
AMU36561.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3N98_16215	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3N98_16215 [Mycobacterium abscessus]	1014165899 
AMU41606.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3N99_16805	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3N99_16805 [Mycobacterium abscessus]	1014177363 
AMU61580.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3O03_16925	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O03_16925 [Mycobacterium abscessus]	1014220906 
AMU66479.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3O04_15235	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O04_15235 [Mycobacterium abscessus]	1014890318 
AMU76151.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	A3O06_17480	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein A3O06_17480 [Mycobacterium abscessus]	1014899992 
ANN99871.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	BAB74_14980	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein BAB74_14980 [Mycobacterium abscessus]	1041022828 
ANO15017.1	TM+TM	TM+TM	Cyt_bd_oxida_II	300	BAB77_15055	Mycobacterium abscessus	bacteria>actinobacteria	hypothetical protein BAB77_15055 [Mycobacterium abscessus]	1041037976 
